2union,term1807 df=1 cf=2
2united,term27945 df=1 cf=1
2universal,term20534 df=1 cf=1
2usgs,term21297 df=1 cf=1
2versus1,term6921 df=8 cf=8
2video,term21583 df=1 cf=1
2visual,term16177 df=1 cf=1
2world,term16851 df=3 cf=3
2x300,term17894 df=2 cf=2
2zweemann1,term18664 df=1 cf=1
3,term19 df=1533 cf=2329
30,term1536 df=309 cf=325
300,term6833 df=31 cf=33
3000,term24394 df=1 cf=1
301,term9686 df=6 cf=10
302,term16039 df=2 cf=2
3031,term21934 df=1 cf=1
3033,term14750 df=1 cf=1
304,term10378 df=7 cf=7
305,term10168 df=2 cf=2
306,term22650 df=1 cf=1
307,term16134 df=2 cf=2
308,term24611 df=2 cf=2
3080,term29271 df=1 cf=1
3084,term24683 df=1 cf=1
309,term18728 df=1 cf=1
30s,term26904 df=2 cf=2
30th,term13465 df=3 cf=3
31,term1537 df=215 cf=223
310,term14436 df=4 cf=4
311,term17928 df=6 cf=6
312,term12138 df=2 cf=2
313,term25560 df=2 cf=2
3136,term8080 df=2 cf=2
314,term7527 df=3 cf=3
315,term12982 df=3 cf=3
316,term10287 df=4 cf=4
3169,term18847 df=1 cf=1
317,term6526 df=3 cf=3
318,term7890 df=2 cf=2
319,term22436 df=1 cf=1
3190,term22281 df=1 cf=1
3195,term16168 df=1 cf=1
31st,term27733 df=1 cf=1
32,term560 df=294 cf=304
320,term3767 df=2 cf=2
321,term21011 df=1 cf=1
322,term17245 df=2 cf=2
323,term9943 df=2 cf=2
324,term8270 df=1 cf=1
325,term21964 df=5 cf=5
326,term11667 df=2 cf=2
327,term16178 df=2 cf=2
328,term20461 df=3 cf=3
329,term24488 df=1 cf=1
32k,term24636 df=2 cf=2
32nd,term26063 df=1 cf=1
33,term281 df=111 cf=112
330,term4992 df=2 cf=2
